TOP.61dade3d.000f331f	START
TOP.61dae9c5.0007e926	user_options->debug_mode	0
TOP.61dae9c5.0007e926	user_options->hash_info	0
TOP.61dae9c5.0007e926	user_options->force	0
TOP.61dae9c5.0007e926	user_options->hwmon_disable	0
TOP.61dae9c5.0007e926	user_options->hwmon_temp_abort	90
TOP.61dae9c5.0007e926	user_options->hash_mode	22000
TOP.61dae9c5.0007e926	user_options->hex_charset	0
TOP.61dae9c5.0007e926	user_options->hex_salt	0
TOP.61dae9c5.0007e926	user_options->hex_wordlist	0
TOP.61dae9c5.0007e926	user_options->hook_threads	0
TOP.61dae9c5.0007e926	user_options->identify	0
TOP.61dae9c5.0007e926	user_options->increment	0
TOP.61dae9c5.0007e926	user_options->increment_max	256
TOP.61dae9c5.0007e926	user_options->increment_min	1
TOP.61dae9c5.0007e926	user_options->keep_guessing	0
TOP.61dae9c5.0007e926	user_options->kernel_accel	0
TOP.61dae9c5.0007e926	user_options->kernel_loops	0
TOP.61dae9c5.0007e926	user_options->kernel_threads	0
TOP.61dae9c5.0007e926	user_options->keyspace	0
TOP.61dae9c5.0007e926	user_options->left	0
TOP.61dae9c5.0007e926	user_options->logfile_disable	0
TOP.61dae9c5.0007e926	user_options->loopback	0
TOP.61dae9c5.0007e926	user_options->machine_readable	0
TOP.61dae9c5.0007e926	user_options->markov_classic	0
TOP.61dae9c5.0007e926	user_options->markov_disable	0
TOP.61dae9c5.0007e926	user_options->markov_inverse	0
TOP.61dae9c5.0007e926	user_options->markov_threshold	256
TOP.61dae9c5.0007e926	user_options->multiply_accel_disable	0
TOP.61dae9c5.0007e926	user_options->backend_info	0
TOP.61dae9c5.0007e926	user_options->backend_vector_width	0
TOP.61dae9c5.0007e926	user_options->optimized_kernel_enable	0
TOP.61dae9c5.0007e926	user_options->outfile_autohex	1
TOP.61dae9c5.0007e926	user_options->outfile_check_timer	5
TOP.61dae9c5.0007e926	user_options->outfile_format	3
TOP.61dae9c5.0007e926	user_options->wordlist_autohex_disable	0
TOP.61dae9c5.0007e926	user_options->potfile_disable	0
TOP.61dae9c5.0007e926	user_options->progress_only	0
TOP.61dae9c5.0007e926	user_options->quiet	1
TOP.61dae9c5.0007e926	user_options->remove	0
TOP.61dae9c5.0007e926	user_options->remove_timer	60
TOP.61dae9c5.0007e926	user_options->restore	0
TOP.61dae9c5.0007e926	user_options->restore_disable	1
TOP.61dae9c5.0007e926	user_options->restore_timer	60
TOP.61dae9c5.0007e926	user_options->rp_files_cnt	0
TOP.61dae9c5.0007e926	user_options->rp_gen	0
TOP.61dae9c5.0007e926	user_options->rp_gen_func_max	4
TOP.61dae9c5.0007e926	user_options->rp_gen_func_min	1
TOP.61dae9c5.0007e926	user_options->rp_gen_seed	0
TOP.61dae9c5.0007e926	user_options->runtime	0
TOP.61dae9c5.0007e926	user_options->scrypt_tmto	0
TOP.61dae9c5.0007e926	user_options->segment_size	33554432
TOP.61dae9c5.0007e926	user_options->self_test_disable	0
TOP.61dae9c5.0007e926	user_options->slow_candidates	0
TOP.61dae9c5.0007e926	user_options->show	1
TOP.61dae9c5.0007e926	user_options->speed_only	0
TOP.61dae9c5.0007e926	user_options->spin_damp	0
TOP.61dae9c5.0007e926	user_options->status	0
TOP.61dae9c5.0007e926	user_options->status_json	0
TOP.61dae9c5.0007e926	user_options->status_timer	10
TOP.61dae9c5.0007e926	user_options->stdout_flag	0
TOP.61dae9c5.0007e926	user_options->usage	0
TOP.61dae9c5.0007e926	user_options->username	0
TOP.61dae9c5.0007e926	user_options->veracrypt_pim_start	485
TOP.61dae9c5.0007e926	user_options->veracrypt_pim_stop	485
TOP.61dae9c5.0007e926	user_options->version	0
TOP.61dae9c5.0007e926	user_options->workload_profile	2
TOP.61dae9c5.0007e926	user_options->brain_client	0
TOP.61dae9c5.0007e926	user_options->brain_client_features	2
TOP.61dae9c5.0007e926	user_options->brain_server	0
TOP.61dae9c5.0007e926	user_options->brain_server_timer	300
TOP.61dae9c5.0007e926	user_options->brain_port	6863
TOP.61dae9c5.0007e926	user_options->brain_session	0
TOP.61dae9c5.0007e926	proc_start	1641736645
TOP.61dae9c5.0007e926	proc_stop	1641736645
TOP.61dae9c5.0007e926	STOP
TOP.61daeae3.0009f90e	START
TOP.61daeae3.0009f90e	folder_config->cwd	/home/scan87/utils/hashshark
TOP.61daeae3.0009f90e	folder_config->install_dir	/home/scan87/utils/hashshark/hashcat-6.2.5
TOP.61daeae3.0009f90e	folder_config->profile_dir	/home/scan87/utils/hashshark/hashcat-6.2.5
TOP.61daeae3.0009f90e	folder_config->session_dir	/home/scan87/utils/hashshark/hashcat-6.2.5
TOP.61daeae3.0009f90e	folder_config->shared_dir	/home/scan87/utils/hashshark/hashcat-6.2.5
TOP.61daeae3.0009f90e	user_options->encoding_from	utf-8
TOP.61daeae3.0009f90e	user_options->encoding_to	utf-8
TOP.61daeae3.0009f90e	user_options->rule_buf_l	:
TOP.61daeae3.0009f90e	user_options->rule_buf_r	:
TOP.61daeae3.0009f90e	user_options->session	show
TOP.61daeae3.0009f90e	user_options->separator	:
TOP.61daeae3.0009f90e	user_options->limit	0
TOP.61daeae3.0009f90e	user_options->skip	0
TOP.61daeae3.0009f90e	user_options->attack_mode	100
TOP.61daeae3.0009f90e	user_options->benchmark	0
TOP.61daeae3.0009f90e	user_options->benchmark_all	0
TOP.61daeae3.0009f90e	user_options->bitmap_max	18
TOP.61daeae3.0009f90e	user_options->bitmap_min	16
TOP.61daeae3.0009f90e	user_options->debug_mode	0
TOP.61daeae3.0009f90e	user_options->hash_info	0
TOP.61daeae3.0009f90e	user_options->force	0
TOP.61daeae3.0009f90e	user_options->hwmon_disable	0
TOP.61daeae3.0009f90e	user_options->hwmon_temp_abort	90
TOP.61daeae3.0009f90e	user_options->hash_mode	22000
TOP.61daeae3.0009f90e	user_options->hex_charset	0
TOP.61daeae3.0009f90e	user_options->hex_salt	0
TOP.61daeae3.0009f90e	user_options->hex_wordlist	0
TOP.61daeae3.0009f90e	user_options->hook_threads	0
TOP.61daeae3.0009f90e	user_options->identify	0
TOP.61daeae3.0009f90e	user_options->increment	0
TOP.61daeae3.0009f90e	user_options->increment_max	256
TOP.61daeae3.0009f90e	user_options->increment_min	1
TOP.61daeae3.0009f90e	user_options->keep_guessing	0
TOP.61daeae3.0009f90e	user_options->kernel_accel	0
TOP.61daeae3.0009f90e	user_options->kernel_loops	0
TOP.61daeae3.0009f90e	user_options->kernel_threads	0
TOP.61daeae3.0009f90e	user_options->keyspace	0
TOP.61daeae3.0009f90e	user_options->left	0
TOP.61daeae3.0009f90e	user_options->logfile_disable	0
TOP.61daeae3.0009f90e	user_options->loopback	0
TOP.61daeae3.0009f90e	user_options->machine_readable	0
TOP.61daeae3.0009f90e	user_options->markov_classic	0
TOP.61daeae3.0009f90e	user_options->markov_disable	0
TOP.61daeae3.0009f90e	user_options->markov_inverse	0
TOP.61daeae3.0009f90e	user_options->markov_threshold	256
TOP.61daeae3.0009f90e	user_options->multiply_accel_disable	0
TOP.61daeae3.0009f90e	user_options->backend_info	0
TOP.61daeae3.0009f90e	user_options->backend_vector_width	0
TOP.61daeae3.0009f90e	user_options->optimized_kernel_enable	0
TOP.61daeae3.0009f90e	user_options->outfile_autohex	1
TOP.61daeae3.0009f90e	user_options->outfile_check_timer	5
TOP.61daeae3.0009f90e	user_options->outfile_format	3
TOP.61daeae3.0009f90e	user_options->wordlist_autohex_disable	0
TOP.61daeae3.0009f90e	user_options->potfile_disable	0
TOP.61daeae3.0009f90e	user_options->progress_only	0
TOP.61daeae3.0009f90e	user_options->quiet	1
TOP.61daeae3.0009f90e	user_options->remove	0
TOP.61daeae3.0009f90e	user_options->remove_timer	60
TOP.61daeae3.0009f90e	user_options->restore	0
TOP.61daeae3.0009f90e	user_options->restore_disable	1
TOP.61daeae3.0009f90e	user_options->restore_timer	60
TOP.61daeae3.0009f90e	user_options->rp_files_cnt	0
TOP.61daeae3.0009f90e	user_options->rp_gen	0
TOP.61daeae3.0009f90e	user_options->rp_gen_func_max	4
TOP.61daeae3.0009f90e	user_options->rp_gen_func_min	1
TOP.61daeae3.0009f90e	user_options->rp_gen_seed	0
TOP.61daeae3.0009f90e	user_options->runtime	0
TOP.61daeae3.0009f90e	user_options->scrypt_tmto	0
TOP.61daeae3.0009f90e	user_options->segment_size	33554432
TOP.61daeae3.0009f90e	user_options->self_test_disable	0
TOP.61daeae3.0009f90e	user_options->slow_candidates	0
TOP.61daeae3.0009f90e	user_options->show	1
TOP.61daeae3.0009f90e	user_options->speed_only	0
TOP.61daeae3.0009f90e	user_options->spin_damp	0
TOP.61daeae3.0009f90e	user_options->status	0
TOP.61daeae3.0009f90e	user_options->status_json	0
TOP.61daeae3.0009f90e	user_options->status_timer	10
TOP.61daeae3.0009f90e	user_options->stdout_flag	0
TOP.61daeae3.0009f90e	user_options->usage	0
TOP.61daeae3.0009f90e	user_options->username	0
TOP.61daeae3.0009f90e	user_options->veracrypt_pim_start	485
TOP.61daeae3.0009f90e	user_options->veracrypt_pim_stop	485
TOP.61daeae3.0009f90e	user_options->version	0
TOP.61daeae3.0009f90e	user_options->workload_profile	2
TOP.61daeae3.0009f90e	user_options->brain_client	0
TOP.61daeae3.0009f90e	user_options->brain_client_features	2
TOP.61daeae3.0009f90e	user_options->brain_server	0
TOP.61daeae3.0009f90e	user_options->brain_server_timer	300
TOP.61daeae3.0009f90e	user_options->brain_port	6863
TOP.61daeae3.0009f90e	user_options->brain_session	0
TOP.61daeae3.0009f90e	proc_start	1641736931
TOP.61daeae3.0009f90e	proc_stop	1641736931
TOP.61daeae3.0009f90e	STOP
TOP.61daeae3.000a3266	START
TOP.61daeae3.000a3266	folder_config->cwd	/home/scan87/utils/hashshark
TOP.61daeae3.000a3266	folder_config->install_dir	/home/scan87/utils/hashshark/hashcat-6.2.5
TOP.61daeae3.000a3266	folder_config->profile_dir	/home/scan87/utils/hashshark/hashcat-6.2.5
TOP.61daeae3.000a3266	folder_config->session_dir	/home/scan87/utils/hashshark/hashcat-6.2.5
TOP.61daeae3.000a3266	folder_config->shared_dir	/home/scan87/utils/hashshark/hashcat-6.2.5
TOP.61daeae3.000a3266	user_options->encoding_from	utf-8
TOP.61daeae3.000a3266	user_options->encoding_to	utf-8
TOP.61daeae3.000a3266	user_options->rule_buf_l	:
TOP.61daeae3.000a3266	user_options->rule_buf_r	:
TOP.61daeae3.000a3266	user_options->session	show
TOP.61daeae3.000a3266	user_options->separator	:
TOP.61daeae3.000a3266	user_options->limit	0
TOP.61daeae3.000a3266	user_options->skip	0
TOP.61daeae3.000a3266	user_options->attack_mode	100
TOP.61daeae3.000a3266	user_options->benchmark	0
TOP.61daeae3.000a3266	user_options->benchmark_all	0
TOP.61daeae3.000a3266	user_options->bitmap_max	18
TOP.61daeae3.000a3266	user_options->bitmap_min	16
TOP.61daeae3.000a3266	user_options->debug_mode	0
TOP.61daeae3.000a3266	user_options->hash_info	0
TOP.61daeae3.000a3266	user_options->force	0
TOP.61daeae3.000a3266	user_options->hwmon_disable	0
TOP.61daeae3.000a3266	user_options->hwmon_temp_abort	90
TOP.61daeae3.000a3266	user_options->hash_mode	22000
TOP.61daeae3.000a3266	user_options->hex_charset	0
TOP.61daeae3.000a3266	user_options->hex_salt	0
TOP.61daeae3.000a3266	user_options->hex_wordlist	0
TOP.61daeae3.000a3266	user_options->hook_threads	0
TOP.61daeae3.000a3266	user_options->identify	0
TOP.61daeae3.000a3266	user_options->increment	0
TOP.61daeae3.000a3266	user_options->increment_max	256
TOP.61daeae3.000a3266	user_options->increment_min	1
TOP.61daeae3.000a3266	user_options->keep_guessing	0
TOP.61daeae3.000a3266	user_options->kernel_accel	0
TOP.61daeae3.000a3266	user_options->kernel_loops	0
TOP.61daeae3.000a3266	user_options->kernel_threads	0
TOP.61daeae3.000a3266	user_options->keyspace	0
TOP.61daeae3.000a3266	user_options->left	0
TOP.61daeae3.000a3266	user_options->logfile_disable	0
TOP.61daeae3.000a3266	user_options->loopback	0
TOP.61daeae3.000a3266	user_options->machine_readable	0
TOP.61daeae3.000a3266	user_options->markov_classic	0
TOP.61daeae3.000a3266	user_options->markov_disable	0
TOP.61daeae3.000a3266	user_options->markov_inverse	0
TOP.61daeae3.000a3266	user_options->markov_threshold	256
TOP.61daeae3.000a3266	user_options->multiply_accel_disable	0
TOP.61daeae3.000a3266	user_options->backend_info	0
TOP.61daeae3.000a3266	user_options->backend_vector_width	0
TOP.61daeae3.000a3266	user_options->optimized_kernel_enable	0
TOP.61daeae3.000a3266	user_options->outfile_autohex	1
TOP.61daeae3.000a3266	user_options->outfile_check_timer	5
TOP.61daeae3.000a3266	user_options->outfile_format	3
TOP.61daeae3.000a3266	user_options->wordlist_autohex_disable	0
TOP.61daeae3.000a3266	user_options->potfile_disable	0
TOP.61daeae3.000a3266	user_options->progress_only	0
TOP.61daeae3.000a3266	user_options->quiet	1
TOP.61daeae3.000a3266	user_options->remove	0
TOP.61daeae3.000a3266	user_options->remove_timer	60
TOP.61daeae3.000a3266	user_options->restore	0
TOP.61daeae3.000a3266	user_options->restore_disable	1
TOP.61daeae3.000a3266	user_options->restore_timer	60
TOP.61daeae3.000a3266	user_options->rp_files_cnt	0
TOP.61daeae3.000a3266	user_options->rp_gen	0
TOP.61daeae3.000a3266	user_options->rp_gen_func_max	4
TOP.61daeae3.000a3266	user_options->rp_gen_func_min	1
TOP.61daeae3.000a3266	user_options->rp_gen_seed	0
TOP.61daeae3.000a3266	user_options->runtime	0
TOP.61daeae3.000a3266	user_options->scrypt_tmto	0
TOP.61daeae3.000a3266	user_options->segment_size	33554432
TOP.61daeae3.000a3266	user_options->self_test_disable	0
TOP.61daeae3.000a3266	user_options->slow_candidates	0
TOP.61daeae3.000a3266	user_options->show	1
TOP.61daeae3.000a3266	user_options->speed_only	0
TOP.61daeae3.000a3266	user_options->spin_damp	0
TOP.61daeae3.000a3266	user_options->status	0
TOP.61daeae3.000a3266	user_options->status_json	0
TOP.61daeae3.000a3266	user_options->status_timer	10
TOP.61daeae3.000a3266	user_options->stdout_flag	0
TOP.61daeae3.000a3266	user_options->usage	0
TOP.61daeae3.000a3266	user_options->username	0
TOP.61daeae3.000a3266	user_options->veracrypt_pim_start	485
TOP.61daeae3.000a3266	user_options->veracrypt_pim_stop	485
TOP.61daeae3.000a3266	user_options->version	0
TOP.61daeae3.000a3266	user_options->workload_profile	2
TOP.61daeae3.000a3266	user_options->brain_client	0
TOP.61daeae3.000a3266	user_options->brain_client_features	2
TOP.61daeae3.000a3266	user_options->brain_server	0
TOP.61daeae3.000a3266	user_options->brain_server_timer	300
TOP.61daeae3.000a3266	user_options->brain_port	6863
TOP.61daeae3.000a3266	user_options->brain_session	0
TOP.61daeae3.000a3266	proc_start	1641736931
TOP.61daeae3.000a3266	proc_stop	1641736931
TOP.61daeae3.000a3266	STOP
TOP.61daeae3.000a56fb	START
TOP.61daeae3.000a56fb	folder_config->cwd	/home/scan87/utils/hashshark
TOP.61daeae3.000a56fb	folder_config->install_dir	/home/scan87/utils/hashshark/hashcat-6.2.5
TOP.61daeae3.000a56fb	folder_config->profile_dir	/home/scan87/utils/hashshark/hashcat-6.2.5
TOP.61daeae3.000a56fb	folder_config->session_dir	/home/scan87/utils/hashshark/hashcat-6.2.5
TOP.61daeae3.000a56fb	folder_config->shared_dir	/home/scan87/utils/hashshark/hashcat-6.2.5
TOP.61daeae3.000a56fb	user_options->encoding_from	utf-8
TOP.61daeae3.000a56fb	user_options->encoding_to	utf-8
TOP.61daeae3.000a56fb	user_options->rule_buf_l	:
TOP.61daeae3.000a56fb	user_options->rule_buf_r	:
TOP.61daeae3.000a56fb	user_options->session	show
TOP.61daeae3.000a56fb	user_options->separator	:
TOP.61daeae3.000a56fb	user_options->limit	0
TOP.61daeae3.000a56fb	user_options->skip	0
TOP.61daeae3.000a56fb	user_options->attack_mode	100
TOP.61daeae3.000a56fb	user_options->benchmark	0
TOP.61daeae3.000a56fb	user_options->benchmark_all	0
TOP.61daeae3.000a56fb	user_options->bitmap_max	18
TOP.61daeae3.000a56fb	user_options->bitmap_min	16
TOP.61daeae3.000a56fb	user_options->debug_mode	0
TOP.61daeae3.000a56fb	user_options->hash_info	0
TOP.61daeae3.000a56fb	user_options->force	0
TOP.61daeae3.000a56fb	user_options->hwmon_disable	0
TOP.61daeae3.000a56fb	user_options->hwmon_temp_abort	90
TOP.61daeae3.000a56fb	user_options->hash_mode	1000
TOP.61daeae3.000a56fb	user_options->hex_charset	0
TOP.61daeae3.000a56fb	user_options->hex_salt	0
TOP.61daeae3.000a56fb	user_options->hex_wordlist	0
TOP.61daeae3.000a56fb	user_options->hook_threads	0
TOP.61daeae3.000a56fb	user_options->identify	0
TOP.61daeae3.000a56fb	user_options->increment	0
TOP.61daeae3.000a56fb	user_options->increment_max	256
TOP.61daeae3.000a56fb	user_options->increment_min	1
TOP.61daeae3.000a56fb	user_options->keep_guessing	0
TOP.61daeae3.000a56fb	user_options->kernel_accel	0
TOP.61daeae3.000a56fb	user_options->kernel_loops	0
TOP.61daeae3.000a56fb	user_options->kernel_threads	0
TOP.61daeae3.000a56fb	user_options->keyspace	0
TOP.61daeae3.000a56fb	user_options->left	0
TOP.61daeae3.000a56fb	user_options->logfile_disable	0
TOP.61daeae3.000a56fb	user_options->loopback	0
TOP.61daeae3.000a56fb	user_options->machine_readable	0
TOP.61daeae3.000a56fb	user_options->markov_classic	0
TOP.61daeae3.000a56fb	user_options->markov_disable	0
TOP.61daeae3.000a56fb	user_options->markov_inverse	0
TOP.61daeae3.000a56fb	user_options->markov_threshold	256
TOP.61daeae3.000a56fb	user_options->multiply_accel_disable	0
TOP.61daeae3.000a56fb	user_options->backend_info	0
TOP.61daeae3.000a56fb	user_options->backend_vector_width	0
TOP.61daeae3.000a56fb	user_options->optimized_kernel_enable	0
TOP.61daeae3.000a56fb	user_options->outfile_autohex	1
TOP.61daeae3.000a56fb	user_options->outfile_check_timer	5
TOP.61daeae3.000a56fb	user_options->outfile_format	3
TOP.61daeae3.000a56fb	user_options->wordlist_autohex_disable	0
TOP.61daeae3.000a56fb	user_options->potfile_disable	0
TOP.61daeae3.000a56fb	user_options->progress_only	0
TOP.61daeae3.000a56fb	user_options->quiet	1
TOP.61daeae3.000a56fb	user_options->remove	0
TOP.61daeae3.000a56fb	user_options->remove_timer	60
TOP.61daeae3.000a56fb	user_options->restore	0
TOP.61daeae3.000a56fb	user_options->restore_disable	1
TOP.61daeae3.000a56fb	user_options->restore_timer	60
TOP.61daeae3.000a56fb	user_options->rp_files_cnt	0
TOP.61daeae3.000a56fb	user_options->rp_gen	0
TOP.61daeae3.000a56fb	user_options->rp_gen_func_max	4
TOP.61daeae3.000a56fb	user_options->rp_gen_func_min	1
TOP.61daeae3.000a56fb	user_options->rp_gen_seed	0
TOP.61daeae3.000a56fb	user_options->runtime	0
TOP.61daeae3.000a56fb	user_options->scrypt_tmto	0
TOP.61daeae3.000a56fb	user_options->segment_size	33554432
TOP.61daeae3.000a56fb	user_options->self_test_disable	0
TOP.61daeae3.000a56fb	user_options->slow_candidates	0
TOP.61daeae3.000a56fb	user_options->show	1
TOP.61daeae3.000a56fb	user_options->speed_only	0
TOP.61daeae3.000a56fb	user_options->spin_damp	0
TOP.61daeae3.000a56fb	user_options->status	0
TOP.61daeae3.000a56fb	user_options->status_json	0
TOP.61daeae3.000a56fb	user_options->status_timer	10
TOP.61daeae3.000a56fb	user_options->stdout_flag	0
TOP.61daeae3.000a56fb	user_options->usage	0
TOP.61daeae3.000a56fb	user_options->username	0
TOP.61daeae3.000a56fb	user_options->veracrypt_pim_start	485
TOP.61daeae3.000a56fb	user_options->veracrypt_pim_stop	485
TOP.61daeae3.000a56fb	user_options->version	0
TOP.61daeae3.000a56fb	user_options->workload_profile	2
TOP.61daeae3.000a56fb	user_options->brain_client	0
TOP.61daeae3.000a56fb	user_options->brain_client_features	2
TOP.61daeae3.000a56fb	user_options->brain_server	0
TOP.61daeae3.000a56fb	user_options->brain_server_timer	300
TOP.61daeae3.000a56fb	user_options->brain_port	6863
TOP.61daeae3.000a56fb	user_options->brain_session	0
TOP.61daeae3.000a56fb	proc_start	1641736931
TOP.61daeae3.000a56fb	proc_stop	1641736931
TOP.61daeae3.000a56fb	STOP
TOP.61daeae3.000a931c	START
TOP.61daeae3.000a931c	folder_config->cwd	/home/scan87/utils/hashshark
TOP.61daeae3.000a931c	folder_config->install_dir	/home/scan87/utils/hashshark/hashcat-6.2.5
TOP.61daeae3.000a931c	folder_config->profile_dir	/home/scan87/utils/hashshark/hashcat-6.2.5
TOP.61daeae3.000a931c	folder_config->session_dir	/home/scan87/utils/hashshark/hashcat-6.2.5
TOP.61daeae3.000a931c	folder_config->shared_dir	/home/scan87/utils/hashshark/hashcat-6.2.5
TOP.61daeae3.000a931c	user_options->encoding_from	utf-8
TOP.61daeae3.000a931c	user_options->encoding_to	utf-8
TOP.61daeae3.000a931c	user_options->rule_buf_l	:
